ds;holiday
01/01/2020;Ano Novo
24/02/2020;Carnaval
25/02/2020;Carnaval
26/02/2020;Carnaval
10/04/2020;Sexta-Feira Santa
21/04/2020;Dia de Tiradentes
01/05/2020;Dia do Trabalho
11/06/2020;Corpus Christi
07/09/2020;Independência do Brasil
12/10/2020;Nossa Senhora Aparecida
15/10/2020;Dia do Professor
28/10/2020;Dia do Servidor Público
02/11/2020;Dia de Finados
15/11/2020;Proclamação da República
25/12/2020;Natal
01/01/2021;Ano Novo
15/02/2021;Carnaval
16/02/2021;Carnaval
17/02/2021;Carnaval
02/04/2021;Sexta-Feira Santa
21/04/2021;Dia de Tiradentes
01/05/2021;Dia do Trabalho
03/06/2021;Corpus Christi
07/09/2021;Independência do Brasil
12/10/2021;Nossa Senhora Aparecida
15/10/2021;Dia do Professor
28/10/2021;Dia do Servidor Público
02/11/2021;Dia de Finados
15/11/2021;Proclamação da República
25/12/2021;Natal
01/01/2022;Ano Novo
28/02/2022;Carnaval
01/03/2022;Carnaval
02/03/2022;Carnaval
15/04/2022;Sexta-Feira Santa
21/04/2022;Dia de Tiradentes
01/05/2022;Dia do Trabalho
16/06/2022;Corpus Christi
07/09/2022;Independência do Brasil
12/10/2022;Nossa Senhora Aparecida
15/10/2022;Dia do Professor
28/10/2022;Dia do Servidor Público
02/11/2022;Dia de Finados
15/11/2022;Proclamação da República
25/12/2022;Natal
