0,1,2,3,4,5,6,7,8,9,10,11,12
9.09,9.12,9.05,9.05,9.23,13.2,9.11,9.08,9.07,9.04,9.11,8.97,8.9
8.5,8.54,8.44,8.41,8.65,12.2,8.48,8.47,8.39,8.33,8.46,8.3,8.2
7.35,7.39,7.26,7.36,7.42,11.85,7.36,7.29,7.29,7.25,7.27,7.25,7.18
6.86,6.88,6.85,7.01,6.91,11.75,6.91,6.79,6.92,6.91,6.85,6.92,6.86
6.29,6.31,6.43,6.43,6.36,11.99,6.36,6.29,6.48,6.56,6.56,6.65,6.57
6.56,6.57,6.71,6.67,6.76,11.34,6.67,6.61,6.72,6.84,6.88,6.86,6.8
7.35,7.36,7.42,7.45,7.57,12.09,7.49,7.45,7.54,7.67,7.68,7.64,7.64
6.93,6.97,6.92,7.0,7.11,11.23,7.03,6.97,6.98,7.01,6.93,6.93,6.98
7.45,7.5,7.36,7.44,7.6,12.4,7.52,7.47,7.41,7.37,7.38,7.34,7.34
6.49,6.55,6.49,6.35,6.63,11.9,6.48,6.48,6.31,6.3,6.37,6.27,6.25
7.86,7.89,7.96,7.85,7.99,15.11,7.88,7.86,7.87,7.9,7.87,7.81,7.8
7.65,7.63,7.71,7.73,7.69,14.95,7.66,7.61,7.72,7.8,7.75,7.73,7.73
8.4,8.36,8.32,8.59,8.46,14.63,8.49,8.37,8.55,8.61,8.56,8.54,8.53
7.15,7.05,6.93,7.3,7.15,13.2,7.18,7.06,7.16,7.25,7.35,7.2,7.15
7.34,7.3,7.22,7.36,7.43,14.19,7.38,7.31,7.3,7.33,7.44,7.24,7.19
6.6,6.58,6.49,6.52,6.7,14.44,6.59,6.56,6.46,6.43,6.62,6.36,6.28
7.38,7.41,7.34,7.32,7.54,15.93,7.47,7.45,7.39,7.37,7.41,7.25,7.26
6.95,6.96,6.96,7.05,7.1,15.95,7.12,7.05,7.13,7.23,7.12,7.08,7.16
7.29,7.32,7.46,7.4,7.48,15.19,7.44,7.43,7.53,7.65,7.51,7.51,7.61
7.08,7.07,7.17,7.1,7.29,13.26,7.13,7.14,7.1,7.17,7.22,7.12,7.13
8.78,8.77,8.84,8.79,9.01,14.68,8.85,8.85,8.79,8.83,8.89,8.76,8.77
10.49,10.47,10.4,10.47,10.71,15.0,10.6,10.58,10.48,10.59,10.72,10.62,10.54
10.87,10.86,10.71,10.95,11.03,17.12,11.06,10.96,11.0,11.09,11.05,11.03,11.01
9.13,9.15,8.95,9.07,9.27,15.66,9.26,9.2,9.12,9.12,9.19,9.09,9.0
8.27,8.31,8.27,8.23,8.42,17.42,8.36,8.32,8.28,8.16,8.19,8.07,8.03
7.15,7.22,7.26,7.01,7.33,14.61,7.19,7.21,7.09,6.94,7.07,6.93,6.8
7.17,7.22,7.3,7.1,7.38,12.69,7.25,7.24,7.16,7.03,7.21,7.03,6.89
7.13,7.13,7.13,7.06,7.32,12.17,7.16,7.14,7.01,6.92,7.21,6.96,6.82
